元の行番号,会社名,分類,理由,サイトURL,フォームURL
88,株式会社SARUCREW,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社SARUCREW,https://sarucrew.co.jp/,https://sarucrew.co.jp/contact/
89,株式会社キュービック,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社キュービック,https://www.cubic-corp.co.jp/,不明
91,株式会社サイバー・バズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社サイバー・バズ,https://www.cyberbuzz.co.jp/,https://www.cyberbuzz.co.jp/contact/
92,株式会社サイバーエージェント,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社サイバーエージェント,https://www.cyberagent.co.jp/,https://www.cyberagent.co.jp/contact/
101,アライドアーキテクツ株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: アライドアーキテクツ株式会社,https://www.aainc.co.jp/,https://www.aainc.co.jp/contactportal/
102,株式会社セルミュラー,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社セルミュラー,https://cellmuller.com/,https://cellmuller.com/contact.html
104,デジマール株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: デジマール株式会社,https://digimarl.com/,https://digimarl.com/en/contact/
113,楽天ペイメント株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 楽天ペイメント株式会社,https://payment.rakuten.co.jp/,不明
115,株式会社フルアウト,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社フルアウト,https://fullout.jp/,不明
116,株式会社フィットクルー,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社フィットクルー,https://fitcrew.co.jp/,https://fitcrew.co.jp/contact/
117,株式会社Leo Sophia Group,除外リスト該当(同一法人),同一法人（社名変更・別表記） / 株式会社LeoSophia,https://leosophia.co.jp/,https://leosophia.co.jp/contact/
122,株式会社セレス,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社セレス,https://ceres-inc.jp/,https://ceres-inc.jp/index/inquiry
126,楽天グループ株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 楽天グループ株式会社,https://corp.rakuten.co.jp/,不明
128,株式会社ゴンドラ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ゴンドラ,https://www.gon-dola.com/,https://www.gon-dola.com/contact/
141,株式会社トラストリッジ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社トラストリッジ,https://trustridge.jp/,https://trustridge.jp/contact
147,株式会社W-ENDLESS,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社W-ENDLESS,https://www.w-endless.co.jp/,https://www.w-endless.co.jp/contact/
166,京成フロンティア企画株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 京成フロンティア企画株式会社,https://www.keisei-fk.jp/,https://www.keisei-fk.jp/contact/
214,株式会社日成アドバンス,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社日成アドバンス,https://www.nissei-advance.co.jp/,https://www.nissei-advance.co.jp/contactus/form
230,株式会社ジオコード,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ジオコード,https://www.geo-code.co.jp/,https://www.geo-code.co.jp/contact/
249,株式会社3WELL,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社3WELL,https://3well.co.jp/,https://3well.co.jp/contact/
256,株式会社エモテント,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社エモテント,https://www.emotent.jp/,https://www.emotent.jp/corp/contact/index.html
258,株式会社ベクトル,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ベクトル,https://vectorinc.co.jp/,https://vectorinc.co.jp/inquiry
262,株式会社レコオーランド,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社レコオーランド,https://recoorlando.co.jp/,https://recoorlando.co.jp/contact
267,株式会社MOG,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社MOG,https://mog-d.com/,https://mog-d.com/contact/
271,アライドアーキテクツ株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: アライドアーキテクツ株式会社,https://www.aainc.co.jp/,https://www.aainc.co.jp/contactportal/
274,株式会社セルミュラー,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社セルミュラー,https://cellmuller.com/,https://cellmuller.com/contact.html
277,Sansan株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: Sansan株式会社,https://jp.corp-sansan.com/,https://jp.corp-sansan.com/inquiry/
291,トレンダーズ株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: トレンダーズ株式会社,https://www.trenders.co.jp/,https://www.trenders.co.jp/contact/business/
293,株式会社メディックス,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社メディックス,https://www.medix-inc.co.jp/,https://www.medix-inc.co.jp/contact/
294,株式会社Macbee Planet,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社Macbee Planet,https://macbee-planet.com/,https://macbee-planet.com/contact/
296,株式会社モバイルムーブメント,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社モバイルムーブメント,https://www.mobilemovement.co.jp/,https://www.mobilemovement.co.jp/contact-us/
297,株式会社デジタルトレンズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社デジタルトレンズ,https://dgtrends.com/,https://dgtrends.com/contact/
315,株式会社オーリーズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社オーリーズ,https://allis-co.com/,https://allis-co.com/contact/
331,株式会社エフ・コード,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社エフ・コード,https://f-code.co.jp/,https://f-code.co.jp/form/inquiry/
348,株式会社イングリウッド,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社イングリウッド,https://inglewood.co.jp/,不明
369,株式会社BACKS,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社BACKS,https://www.backs-inc.jp/,https://www.backs-inc.jp/contact.html
370,株式会社ゴンドラ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ゴンドラ,https://www.gon-dola.com/,https://www.gon-dola.com/contact/salse/
373,株式会社ONE CRUISE,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ONE CRUISE,https://www.onecruise.co.jp/,https://www.onecruise.co.jp/contact/
377,株式会社横浜メディアアド,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社横浜メディアアド,https://soag.co.jp/,https://soag.co.jp/company/contact/form_05.html
390,株式会社オークファン,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社オークファン,https://aucfan.co.jp/,https://aucfan.co.jp/inquiry/
414,株式会社メンバーズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社メンバーズ,https://www.members.co.jp/,https://www.members.co.jp/contact
417,株式会社UP VILLAGE,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社UPVILLAGE,https://www.upvillage.jp/,https://www.upvillage.jp/contact/
419,"株式会社マイベスト／mybest, Inc.",除外リスト該当(同一法人),同一法人（社名変更・別表記） / 株式会社マイベスト（英語表記併記）,https://us.my-best.com/company,https://business.my-best.com/contact
420,株式会社BitStar,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社BitStar,https://corp.bitstar.tokyo/,https://bitstar.jp/contact/
425,株式会社CDG,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社CDG,https://www.cdg.co.jp/,https://www.cdg.co.jp/inquiry/
433,株式会社Bets,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社Bets,https://bets.co.jp/,不明
434,株式会社ハーバルアイ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ハーバルアイ,https://www.herbal-i.co.jp/,https://www.herbal-i.com/info/
448,株式会社フリークアウト,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社フリークアウト,https://www.fout.co.jp/freakout/,https://www.fout.co.jp/freakout/contact/
456,株式会社セレス,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社セレス,https://ceres-inc.jp/,https://ceres-inc.jp/index/inquiry
459,株式会社INFASパブリケーションズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社INFASパブリケーションズ,https://www.infaspub.co.jp/,https://www.infaspub.co.jp/contact/ad
469,アモーレパシフィックジャパン株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: アモーレパシフィックジャパン株式会社,https://www.apgroup.com/jp/ja/,不明
473,ワンメディア株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: ワンメディア株式会社,https://www.onemedia.jp/,https://www.onemedia.jp/contact
478,楽天グループ株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 楽天グループ株式会社,https://corp.rakuten.co.jp/,不明
486,株式会社BINKS,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社BINKS,https://binks.jp/,不明
489,株式会社All Ads,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社All Ads,https://www.net-marketing.co.jp/,https://www.net-marketing.co.jp/contact/
492,株式会社電通デジタル,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社電通デジタル,https://www.dentsudigital.co.jp/,https://www.dentsudigital.co.jp/contact/
493,株式会社ヴァリューズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ヴァリューズ,https://www.valuesccg.com/,https://www.valuesccg.com/inquiry/
494,株式会社AViC,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社AViC,https://avic.jp/,https://avic.jp/contact/contact-service/
495,日本ITビジネス研究所株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 日本ITビジネス研究所株式会社,https://japan-it-b.com/,https://japan-it-b.com/contact
496,アナグラム株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: アナグラム株式会社,https://anagrams.jp/,https://anagrams.jp/contact/
498,株式会社電通デジタル 港区,除外リスト該当(同一法人),同一法人(拠点・部署付き表記) / 除外リスト: 株式会社電通デジタル,https://www.dentsudigital.co.jp/,https://www.dentsudigital.co.jp/contact/
499,株式会社プライムクロス,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社プライムクロス,https://www.prime-x.co.jp/,https://www.prime-x.co.jp/contact_portal/
501,株式会社電通ダイレクト,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社電通ダイレクト,https://www.ddir.co.jp/,https://www.ddir.co.jp/contact/
502,株式会社Leo Sophia Group,除外リスト該当(同一法人),同一法人（社名変更・別表記） / 株式会社LeoSophia,https://leosophia.co.jp/,https://leosophia.co.jp/contact/
506,株式会社unerry,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社unerry,https://www.unerry.co.jp/,https://www.unerry.co.jp/contact/
510,株式会社マウスコンピューター,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社マウスコンピューター,https://www.mouse-jp.co.jp/,https://www.mouse-jp.co.jp/store/business/contact.aspx
512,株式会社DGコミュニケーションズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社DGコミュニケーションズ,https://www.dg-c.co.jp/,https://www.dg-c.co.jp/contact/
528,株式会社キーワードマーケティング,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社キーワードマーケティング,https://www.kwm.co.jp/,https://www.kwm.co.jp/contact/
530,株式会社トライアウト,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社トライアウト,https://tryout.co.jp/,https://tryout.co.jp/contact/
531,RFA digital brains株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: RFA digitalbrains株式会社,http://www.r-f-a.co.jp/,不明
541,株式会社マイナビ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社マイナビ,https://www.mynavi.jp/,不明
549,トランスコスモス株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: トランスコスモス株式会社,https://www.trans-cosmos.co.jp/,https://www.trans-cosmos.co.jp/contact/
586,FISM株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: FISM株式会社,https://fisminc.com/,https://fisminc.com/contact/
598,株式会社ライズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ライズ,要確認,要確認
611,アイリスオーヤマ株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: アイリスオーヤマ株式会社,https://www.irisohyama.co.jp/,https://www.irisohyama.co.jp/support/contact/
612,インピネス株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: インピネス株式会社,https://inppiness.com/,不明
632,合同会社DMM.com,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 合同会社DMM.com,https://dmm-corp.com/,不明
643,株式会社フラッグ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社フラッグ,https://www.flag-pictures.co.jp/,不明
665,株式会社オロ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社オロ,https://www.oro.com/ja/,https://mc.oro.com/contact/
669,株式会社アラテ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社アラテ,https://www.allatte.co.jp/,不明
670,株式会社マネーフォワード,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社マネーフォワード,https://corp.moneyforward.com/,https://corp.moneyforward.com/contact/other/
675,株式会社AJIMA,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社AJIMA,https://www.ajima34.com/,https://www.ajima34.com/contact/
678,株式会社アトラクト,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社アトラクト,https://attract-corp.co.jp/,https://attract-corp.co.jp/contact/
686,Start me株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: Start me株式会社,https://www.start-me.net,https://www.start-me.net/contact/
687,株式会社デジタリフト,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社デジタリフト,https://digitalift.co.jp/,不明
697,株式会社AIAD,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社AIAD,https://www.aiad-net.com/,https://www.aiad-net.com/contact.html
703,トランスコスモス株式会社 渋谷区,除外リスト該当(同一法人),同一法人(拠点・部署付き表記) / 除外リスト: トランスコスモス株式会社,https://www.trans-cosmos.co.jp/,https://www.trans-cosmos.co.jp/contact/
719,株式会社ネクストビート,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ネクストビート,https://www.nextbeat.co.jp/,https://www.nextbeat.co.jp/contact
721,株式会社デイリースポーツ案内広告社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社デイリースポーツ案内広告社,https://daily-ad.jp/,https://daily-ad.jp/contact/
751,株式会社Create the Future,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社Create the Future,https://ctf-mark.jp/,https://ctf-mark.jp/contact/
762,株式会社ジャパネットメディアエージェンシー,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ジャパネットメディアエージェンシー,https://corporate.japanet.co.jp/company/outline/japanetmediaagency/,https://corporate.japanet.co.jp/contact/
769,ディーエムソリューションズ株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: ディーエムソリューションズ株式会社,https://www.dm-s.co.jp/,https://www.dm-s.co.jp/contact/
775,株式会社DYM,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社DYM,https://dym.asia/,https://dym.asia/contact
781,GMO TECH株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: GMO TECH株式会社,https://gmotech.jp/,https://gmotech.jp/contact/
798,株式会社イニシャル,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社イニシャル,https://initialinc.co.jp/,https://initialinc.co.jp/contact/
800,株式会社Offbeat,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: Off Beat株式会社,https://off-beat.co.jp/,https://off-beat.co.jp/contact.html
801,株式会社TOKIUM,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社TOKIUM,https://corp.tokium.jp/,https://corp.tokium.jp/contact/
815,株式会社シロク,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社シロク,https://corp.sirok.jp/,https://sirok.jp/3
829,クラシル株式会社,除外リスト該当(同一法人),同一法人（社名変更・別表記） / dely株式会社（2025-10-01 に クラシル株式会社 へ社名変更。同一法人）,https://kurashiru.co.jp/,https://kurashiru.co.jp/contact
830,株式会社オゾンネットワーク,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社オゾンネットワーク,http://www.ozone-network.co.jp/,http://www.ozone-network.co.jp/contact/
832,INTLOOP株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: INTLOOP株式会社,https://www.intloop.com/,https://www.intloop.com/contact/
851,株式会社D&CMarketing,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社D&C marketing,https://www.dcmarketing.jp/,https://www.dcmarketing.jp/contact/
863,株式会社デジタルガレージ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社デジタルガレージ,https://www.garage.co.jp/,https://www.garage.co.jp/contact/
865,株式会社ビー・アンド・ディー,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ビー・アンド・ディー,https://www.bdcorp.co.jp/,https://www.bdcorp.co.jp/form/contact/
868,株式会社ギブリー,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ギブリー,https://givery.co.jp/,https://givery.co.jp/contact/
872,株式会社デジタルアイデンティティ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社デジタルアイデンティティ,https://digitalidentity.co.jp/,https://digitalidentity.co.jp/contact/
873,パーソルキャリア株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: パーソルキャリア株式会社,https://www.persol-career.co.jp/,https://www.persol-career.co.jp/contact/
874,株式会社ITコミュニケーションズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ITコミュニケーションズ,要確認,不明
879,株式会社グラッドキューブ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社グラッドキューブ,https://corp.glad-cube.com/,https://corp.glad-cube.com/toiawase_corp.html
880,株式会社EgoDiva,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社EgoDiva,https://www.egodiva.jp/,https://www.egodiva.jp/contact/
882,株式会社DYM 品川区,除外リスト該当(同一法人),同一法人(拠点・部署付き表記) / 除外リスト: 株式会社DYM,https://dym.asia/,https://dym.asia/contact
885,株式会社プルークス,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社プルークス,https://proox.co.jp/,https://proox.co.jp/contact/
901,株式会社PLAN‐Bマーケティングパートナーズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社PLAN-Bマーケティングパートナーズ,https://www.pbmp.co.jp/,https://www.pbmp.co.jp/contact/
904,株式会社オプト,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社オプト,https://www.opt.ne.jp/,https://www.opt.ne.jp/contact/
914,サポートワークス株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: サポートワークス株式会社,https://ppc-sw.com/,不明
924,株式会社クイック,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社クイック,https://919.jp/,https://919.jp/contact/
936,デジタルアスリート株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: デジタルアスリート株式会社,https://ppc-master.jp/,不明
940,アンカー株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: アンカー株式会社,要確認,要確認
943,ブルースクレイ・ジャパン株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: ブルースクレイ・ジャパン株式会社,https://bruceclay.jpn.com/,https://bruceclay.jpn.com/contact-form/
957,株式会社フェズ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社フェズ,https://www.fez-inc.jp/,不明
982,日本シグマックス株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 日本シグマックス株式会社,https://www.sigmax.co.jp/,https://www.sigmax.co.jp/customer-service/
988,セブンネット株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: セブンネット株式会社,https://www.sevennet.com/,https://www.sevennet.com/contact/
1007,三菱地所株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 三菱地所株式会社,https://www.mec.co.jp/,https://www.mec.co.jp/j/inquiry/index.html
1017,株式会社TENET,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社TENET,https://tenet.co.jp/,https://tenet.co.jp/contact/
1036,株式会社ecbeing,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ｅｃｂｅｉｎｇ,https://www.ecbeing.net/,https://www.ecbeing.net/contacts/
1041,株式会社DONUTS,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社Donuts,https://www.donuts.ne.jp/,https://www.donuts.ne.jp/contact/corporate/
1044,エムスリー株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: エムスリー株式会社,https://corporate.m3.com/,https://corporate.m3.com/contact/
1045,株式会社NTTドコモ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社NTTドコモ,https://www.docomo.ne.jp/,https://www.docomo.ne.jp/support/inquiry/
1046,株式会社新東通信,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社新東通信,https://www.shinto-tsushin.co.jp/,https://www.shinto-tsushin.co.jp/contact/
1051,株式会社マツリカ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社マツリカ,https://mazrica.com/,https://mazrica.com/contact/
1089,株式会社タガタメ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社タガタメ,https://www.taga-tame.com/,https://www.taga-tame.com/contact/
1098,アウンコンサルティング株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: アウンコンサルティング株式会社,https://www.auncon.co.jp/,不明
1120,株式会社センタード,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社センタード,https://www.centered.co.jp/,https://www.centered.co.jp/contact/
1129,株式会社DomiNatorZ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社DomiNatorZ,https://dominatorz.co.jp/,https://dominatorz.co.jp/contact/
1133,株式会社イーエムネットジャパン,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社イーエムネットジャパン,https://emnet.co.jp/,https://emnet.co.jp/forms/contact/
