元の行番号,会社名,分類,理由,サイトURL,フォームURL
381,株式会社WaterAir,重複,重複（会社名一致） / 223行目「株式会社Water Air」を残した,https://waterair.jp/,https://waterair.jp/contact
526,AnyMind Group,重複,重複（ドメイン一致） / 89行目「AnyMind Japan株式会社」を残した,https://anymindgroup.com/,https://anymindgroup.com/ja/contact/
579,株式会社ギークリー 渋谷区,重複,重複（ドメイン一致） / 97行目「株式会社ギークリー」を残した,https://corp.geekly.co.jp/,https://corp.geekly.co.jp/contact/
598,株式会社Ultimate Life,重複,重複（会社名一致） / 715行目「株式会社UltimateLife」を残した,https://ultimatelife.co.jp/,https://ultimatelife.co.jp/contact/
787,X Mile株式会社 新宿区,重複,重複（ドメイン一致） / 228行目「X Mile株式会社」を残した,https://www.xmile.co.jp/,https://www.xmile.co.jp/inquiry
826,Mouser Electronics,重複,重複（ドメイン一致） / 535行目「Mouser Japan合同会社」を残した,https://www.mouser.jp/,https://www.mouser.jp/help/contact-us/
861,タイガー魔法瓶,重複,重複（会社名一致） / 594行目「タイガー魔法瓶株式会社」を残した,https://www.tiger-corporation.com/,https://www.tiger-corporation.com/ja/jpn/support/inquiry/
876,リビンテクノロジーズ株式会社,重複,重複（会社名一致） / 200行目「リビン・テクノロジーズ株式会社」を残した,https://www.lvn.co.jp/,https://www.lvn.co.jp/contact/
886,エクセレントケアシステム関東支社,重複,重複（ドメイン一致） / 885行目「株式会社エクセレントケアシステム本部」を残した,https://www.excare.co.jp/,https://www.excare.co.jp/inquiry/
915,株式会社ベクティム,重複,重複（ドメイン一致） / 16行目「株式会社VECTIM」を残した,https://vectim.co.jp/,https://vectim.co.jp/contact/
