広告主	キャンペーン名	広告アカウント	目的	クリエイティブ形式	imp	CPM	クリック	クリック率	リーチ	フリークエンシー	消化額	配信開始	配信終了	配信期間
アクアリーフ飲料株式会社	アクアリーフ飲料_冬のホットレモン認知_2512	アクアリーフ飲料	認知	動画	1969697	396	10833	0.55%	999846	1.97	780000	2025/12/01	2025/12/28	2025/12/01〜2025/12/28
アクアリーフ飲料株式会社	アクアリーフ飲料_リブランディング告知認知_2602	アクアリーフ飲料	認知	動画	3433875	431	20947	0.61%	1204868	2.85	1480000	2026/02/02	2026/03/01	2026/02/02〜2026/03/01
アクアリーフ飲料株式会社	アクアリーフ飲料_定期便LP誘導_2504	アクアリーフ飲料	トラフィック	動画	1438053	452	18119	1.26%	764922	1.88	650000	2025/04/07	2025/05/04	2025/04/07〜2025/05/04
アクアリーフ飲料株式会社	アクアリーフ飲料_夏キャンペーン応募LP誘導_2508	アクアリーフ飲料	トラフィック	動画	3068182	528	46636	1.52%	1171062	2.62	1620000	2025/08/11	2025/09/07	2025/08/11〜2025/09/07
アクアリーフ飲料株式会社	アクアリーフ飲料_サンプリング申込LP誘導_2511	アクアリーフ飲料	トラフィック	動画	1848739	476	24773	1.34%	884564	2.09	880000	2025/11/03	2025/11/30	2025/11/03〜2025/11/30
アクアリーフ飲料株式会社	アクアリーフ飲料_春の総選挙企画LP誘導_2604	アクアリーフ飲料	トラフィック	動画	2355289	501	33916	1.44%	1002251	2.35	1180000	2026/04/06	2026/05/03	2026/04/06〜2026/05/03
たびそよぎ	たびそよぎ_冬旅セールLP誘導_2501	たびそよぎ	トラフィック	動画	1812865	342	31181	1.72%	831589	2.18	620000	2025/01/07	2025/02/03	2025/01/07〜2025/02/03
たびそよぎ	たびそよぎ_春旅早割LP誘導_2503	たびそよぎ	トラフィック	動画	2960894	358	54777	1.85%	1213481	2.44	1060000	2025/03/03	2025/03/30	2025/03/03〜2025/03/30
たびそよぎ	たびそよぎ_夏休み国内旅行LP誘導_2506	たびそよぎ	トラフィック	動画	3980100	402	81194	2.04%	1344628	2.96	1600000	2025/06/09	2025/07/13	2025/06/09〜2025/07/13
たびそよぎ	たびそよぎ_秋の紅葉旅LP誘導_2509	たびそよぎ	トラフィック	動画	2500000	376	47750	1.91%	972763	2.57	940000	2025/09/08	2025/10/12	2025/09/08〜2025/10/12
たびそよぎ	たびそよぎ_年末年始旅行LP誘導_2511	たびそよぎ	トラフィック	動画	2056338	355	37631	1.83%	890190	2.31	730000	2025/11/10	2025/12/07	2025/11/10〜2025/12/07
たびそよぎ	たびそよぎ_ブランドムービー認知_2502	たびそよぎ	認知	動画	1824561	285	10218	0.56%	696397	2.62	520000	2025/02/10	2025/03/02	2025/02/10〜2025/03/02
たびそよぎ	たびそよぎ_ひとり旅特集認知_2508	たびそよぎ	認知	動画	3782051	312	24205	0.64%	1227939	3.08	1180000	2025/08/04	2025/08/31	2025/08/04〜2025/08/31
たびそよぎ	たびそよぎ_海外旅行再開認知_2601	たびそよぎ	認知	動画	2885906	298	18758	0.65%	1053250	2.74	860000	2026/01/12	2026/02/08	2026/01/12〜2026/02/08
たびそよぎ	たびそよぎ_直前割予約CV_2510	たびそよぎ	売上	動画	1471572	598	18836	1.28%	791168	1.86	880000	2025/10/13	2025/11/09	2025/10/13〜2025/11/09
たびそよぎ	たびそよぎ_春旅予約CV_2603	たびそよぎ	売上	動画	2059282	641	27800	1.35%	971359	2.12	1320000	2026/03/09	2026/04/05	2026/03/09〜2026/04/05
